Locations,EFT Name,Remote Services Name,Insurance Limit Name,Address
PANORAMIC TRADERS LTD (OLD HOPE ROAD),PANORAMIC TRADERS LTD. OLD HOPE RD.,PANORAMIC TRADERS LTD. OLD HOPE RD.,0,#N/A
PAPER GOLD LIMITED - BARBICAN,PAPER GOLD LTD. ORCHID VILLAGE,PAPER GOLD LTD. ORCHID VILLAGE,Paper Gold - Barbican/Liguanea,"Shop 1A Orchid Village Plaza
20 Barbican Road
Kingston 6"
PAPER GOLD LIMITED - CROSS ROADS,PAPER GOLD LTD. CROSS ROADS,PAPER GOLD LTD. CROSS ROADS,Paper Gold - Cross Roads,"Shop 14, State Mall
15-17 Half Way Tree Road
Kingston"
PAPER GOLD LIMITED - MAY PEN,PAPER GOLD LTD. MAY PEN,PAPER GOLD LTD. MAY PEN,Paper Gold-May Pen,"21 Sevens Road, May Pen, Clarendon"
PAPER GOLD LIMITED - OLD HARBOUR,PAPER GOLD LTD. OLD HARBOUR,PAPER GOLD LTD. OLD HARBOUR,Paper Gold - Old Harbour,"Shop 6 Juici Beef Plaza, 30 East Street, Old Harbour"
PAPER GOLD LIMITED - PORTMORE,PAPER GOLD LTD. PORTMORE PINES,PAPER GOLD LTD. PORTMORE PINES,Paper Gold - Portmore,"Shop 18
'Portmore Pines Plaza, Portmore"
PEAT'S SELF SERVE LIMITED,PEAT'S SELF SERVE LTD.,PEAT'S SELF SERVE LTD.,Peat Self Serve-Buff Bay Portland,"3 Nelson Street
Buff Bay
Portland"
PEAT'S SELF SERVE LIMITED - Hope Bay,PEAT'S SELF SERVE LIMITED-HOPE BAY,PEAT'S SELF SERVE LIMITED-HOPE BAY,Peat's Self-Serve Limited- Hope Bay ,"Main Street, Four Paths, Clarendon "
PETERCLIFF ENTERPRISE,0,0,0,#N/A
Petromac Service Station,0,0,0,#N/A
PHONECARD EXPRESS,PHONECARD EXPRESS CHRISTIANA,PHONECARD EXPRESS CHRISTIANA,PHONECARD EXPRESS CHRISTIANA,"Main Street, Christiana"
PM CONSTRUCTION & DESIGN LTD,0,0,0,#N/A
PORTMORE FSC,PORTMORE MALL PHARMACY LTD.,PORTMORE MALL PHARMACY LTD.,PORTMORE FSC ,"Shop 1D Portmore Mall, Shopping Center, St Catherine"
PRINCE FINANCIALS SERVICES LIMITED,PRINCE FINANCIAL SERVICES LTD.,PRINCE FINANCIAL SERVICES LTD.,Prince Financials ,"Shop 40-42 Hagley Park Road, Kingston 10"
Professional Telecom Limited,0,0,0,#N/A
QUALITY ACCESSORIES & PHONES LIMITED,QUALITY ACCESSORIES & PHONES LTD.,QUALITY ACCESSORIES & PHONES LTD.,Quality Accessories ,"Shop #12 Juicy Plaza, 3 Manchester Road, Mandeville, Manchester"
QUICK PRINT STATIONERY & COMPUTER SERVICE,0,0,0,#N/A
RIVERSIDE BROADWALK,RIVERSIDE PHARMACY LTD. BOARDWALK,RIVERSIDE PHARMACY LIMITED BOARDWALK,Riverside Pharmacy ,"Shop 12& 13, The Broadwalk Shopping center, Norman Manley Blv, Negril "
RIVERSIDE GIFT CENTRE LTD #2,RIVERSIDE PHARMACY LTD. WEST END NEGRIL,RIVERSIDE PHARMACY LTD. WEST END NEGRIL,RIVERSIDE GIFT SHOP,"Shop 1 Negril Shopping Centre
West End
Negril"
Rose Gold Mart,0,0,0,#N/A
ROUNDLIGHT CONSTRUCTION & CONSULTING SERVICES LIMI ,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - ALEXANDRI,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - ALEXANDRI,Roundlight Construction- Alexandria ,"Main Street, Alexandria"
ROUNDLIGHT CONSTRUCTION & CONSULTING SERVICES LIMI - Salem,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - SALEM (,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - SALEM  ( ,Roundlight Salem,"Gordon's Plaza, Main Street
Salem, Runaway Bay"
ROUNDLIGHT CONSTRUCTION & CONSULTING SERVICES LIMI-Gayle,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - GAYLE (,ROUNDLIGHT CONSTRUCTION & CON SRV LTD. - GAYLE  ( ,Roundlight Construction- Gayle ," Shop #2 Hamilton’s Plaza, 
Main Street, Gayle St. Mary"
RUBICON INVESTMENTS LIMITED - BROWN'S TOWN ( AJM00,RUBICON INVESTMENTS LTD. BROWN'S TOWN,RUBICON INVESTMENTS LTD. BROWN'S TOWN,Rubicon Brown's Town,"20 Main Street
Brown's Town"
RUBICON INVESTMENTS LIMITED - CHRISTIANA ( AJM0035,RUBICON INVESTMENTS LTD. CHRISTIANA,RUBICON INVESTMENTS LTD. CHRISTIANA,Rubicon Christiana,"Shop 1, Mid Town Super Center
Main Street Christiana"
RUBICON INVESTMENTS LIMITED - MANCHESTER ROAD ( AJ,RUBICON INVESTMENTS LTD. MANCHESTER RD.,RUBICON INVESTMENTS LTD. MANCHESTER RD.,Rubicon Manchester,"Super Plus Food Stores, 4 Manchester Road, Mandeville,"
RUBICON INVESTMENTS LIMITED - PARK CRESCENT ( AJM0,RUBICON INVESTMENTS LTD. PARK CRESCENT,RUBICON INVESTMENTS LTD. PARK CRESCENT,Rubicon Park Crescent,"Super Plus Food Stores, 2 Park Crescent, Mandeville"
RUBICON INVESTMENTS LIMITED - SPAULDING ( AJM00358,RUBICON INVESTMENTS LTD. SPAULDING,RUBICON INVESTMENTS LTD. SPAULDING,Rubicon spaulding,"Shop 22 Wiltshires Complex, Main Street, Spalding, "
Runaway Bay Comm. Centre (Moneague),RUNAWAY BAY COMM. CTR. MONEAGUE,RUNAWAY BAY COMM. CTR. MONEAGUE,RUNAWAY BAY MONEAGUE,"Coombs Plaza, Shop # 4, Moneague, St. Ann"
RUNAWAY BAY COMM. CTR. - ST. ANNS BAY,RUNAWAY BAY COMM. CTR. ST. ANN'S BAY,RUNAWAY BAY COMM. CTR. ST. ANN'S BAY,RUNAWAY BAY ST ANNS BAY,"Shop 1, 5 Main Street St Ann's Bay"
RUNAWAY BAY COMMUNICATION CENTRE,RUNAWAY BAY COMM. CTR. RUNAWAY BAY,RUNAWAY BAY COMM. CTR. RUNAWAY BAY,RUNAWAY BAY COMMUNICATION CENTRE- Runaway bay,"Shop #2, Runaway Bay Commercial Centre, Main Street  Runaway Bay"
RUNAWAY BAY COMMUNICATION CENTRE- BROWN'S TOWN,RUNAWAY BAY COMM.CTR. BROWN'S TOWN,RUNAWAY BAY COMM.CTR. BROWN'S TOWN,Runnaway Bay Communication Center- Browns Town,"Shop 310  B&H Mini Mall, Main Street, Browns Town"
